Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Man City,3,3.0,3.0,6.0,7.0,10.0,13.0,16.0,16.0,19.0,22.0,22.0,25.0,28.0,31.0,34.0,37.0,40.0,41.0
Sunderland,3,3.0,6.0,7.0,8.0,11.0,11.0,14.0,17.0,18.0,19.0,19.0,22.0,23.0,23.0,26.0,27.0,28.0,29.0
Tottenham,3,6.0,6.0,9.0,10.0,11.0,14.0,14.0,17.0,17.0,18.0,18.0,18.0,19.0,22.0,22.0,22.0,25.0,26.0
Liverpool,3,6.0,9.0,12.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,21.0,22.0,23.0,26.0,29.0,32.0,33.0
Nott'm Forest,3,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,12.0,12.0,15.0,15.0,18.0,18.0,18.0,18.0
Arsenal,3,6.0,6.0,9.0,10.0,13.0,16.0,19.0,22.0,25.0,26.0,29.0,30.0,33.0,33.0,36.0,39.0,42.0,45.0
Leeds,3,3.0,4.0,4.0,7.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,16.0,19.0,20.0,21.0
Brighton,1,1.0,4.0,4.0,5.0,8.0,9.0,12.0,12.0,15.0,16.0,19.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0
Fulham,1,2.0,2.0,5.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,14.0,17.0,17.0,17.0,20.0,23.0,26.0,27.0
Aston Villa,1,1.0,1.0,2.0,3.0,6.0,9.0,12.0,15.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,39.0,39.0
Chelsea,1,4.0,7.0,8.0,8.0,8.0,11.0,14.0,14.0,17.0,20.0,23.0,24.0,24.0,25.0,28.0,29.0,29.0,30.0
Crystal Palace,1,2.0,5.0,6.0,9.0,12.0,12.0,13.0,13.0,16.0,17.0,20.0,20.0,23.0,26.0,26.0,26.0,26.0,27.0
Newcastle,1,1.0,2.0,5.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,15.0,18.0,19.0,22.0,22.0,23.0,23.0,26.0
Everton,0,3.0,6.0,7.0,7.0,8.0,11.0,11.0,11.0,12.0,15.0,18.0,18.0,21.0,24.0,24.0,24.0,25.0,28.0
Man Utd,0,1.0,4.0,4.0,7.0,7.0,10.0,13.0,16.0,17.0,18.0,18.0,21.0,22.0,25.0,26.0,26.0,29.0,30.0
Bournemouth,0,3.0,6.0,9.0,10.0,11.0,14.0,15.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,21.0,22.0,22.0,23.0
Brentford,0,3.0,3.0,4.0,4.0,7.0,7.0,10.0,13.0,13.0,16.0,16.0,19.0,19.0,19.0,20.0,23.0,26.0,27.0
Burnley,0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0
West Ham,0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,14.0
Wolves,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
